Date,AAPL,MSFT,AMZN,NFLX,META,GOOG,INTC,AMD,NVDA,GE,GS,BAC,JPM,MS
2014-07-01,20.7622,35.8445,16.6195,67.5857,68.06,29.0537,23.852,4.22,4.4631,134.6534,140.4787,13.011,44.4162,25.7035
2014-07-02,20.7533,35.8701,16.6425,66.6771,66.45,29.037,23.852,4.34,4.447,135.7245,140.5461,13.2195,43.9533,25.8387
2014-07-03,20.8754,35.7845,16.8746,67.4786,66.29,29.1564,23.9752,4.24,4.4869,136.9997,142.7104,13.3696,44.015,25.9421
2014-07-07,21.3057,35.9472,16.6775,65.8029,65.29,29.0328,23.8905,4.26,4.4512,136.4386,141.2956,13.2946,43.7218,25.7592
2014-07-08,21.1685,35.7674,16.1905,63.5786,62.76,28.4763,23.7057,4.22,4.4155,134.5004,138.8786,12.9943,43.0197,25.2502
2014-07-09,21.1774,35.6732,16.4985,63.2857,64.97,28.7251,23.7827,4.23,4.5488,134.2454,138.6765,13.011,43.2203,25.457
2014-07-10,21.0986,35.6861,16.396,62.65,64.8725,28.4768,24.0676,4.29,4.5238,133.6333,137.6238,12.8776,42.8654,25.1945
2014-07-11,21.1396,36.0328,17.31,62.8514,66.34,28.8797,24.0599,4.37,4.5345,135.4185,138.786,12.8275,43.0506,24.9798
2014-07-14,21.4127,36.0756,17.766,64.6543,67.9,29.1634,24.2447,4.64,4.5917,135.9796,140.6387,12.986,43.4286,25.2979
2014-07-15,21.1618,36.341,17.722,64.1557,67.165,29.1589,24.4141,4.53,4.6107,135.7245,142.4662,13.1862,44.9562,25.449
2014-07-16,21.042,37.7364,17.795,63.4914,67.66,29.0532,26.6776,4.66,4.6059,137.8157,143.561,12.9359,45.2957,25.8466
2014-07-17,20.6667,38.1217,17.6227,62.7657,66.4099,28.6079,25.9462,4.57,4.594,135.7245,143.2831,12.6774,44.6399,25.6876
2014-07-18,20.9643,38.2586,17.933,63.4529,68.4199,29.6725,25.9462,3.83,4.3893,134.9595,144.4031,12.9193,44.9254,25.958
2014-07-21,20.8552,38.3828,17.988,64.5643,69.4,29.3928,26.2234,3.78,4.4155,132.5112,144.6137,12.9443,44.9331,25.8864
2014-07-22,21.0286,38.3785,18.042,61.5843,69.27,29.6555,26.7855,3.8,4.3965,132.7152,147.3928,12.9443,45.2648,26.1727
2014-07-23,21.577,38.4127,17.907,61.1286,71.29,29.7174,26.5621,3.76,4.3036,132.1542,148.9086,12.9443,45.5194,26.5226
2014-07-24,21.5415,38.0104,17.9305,60.7686,74.98,29.5862,26.3696,3.73,4.3108,132.3072,148.437,13.0277,45.6506,26.5624
2014-07-25,21.6838,38.096,16.2005,60.2657,75.19,29.3703,26.3696,3.76,4.2346,131.5421,147.7128,13.0027,45.5271,26.4351
2014-07-28,21.9833,37.6422,16.0205,60.6657,74.92,29.4491,26.3542,3.73,4.2179,130.522,148.176,12.9276,45.666,26.2999
2014-07-29,21.8412,37.5695,16.0,60.6114,73.71,29.2003,26.3234,3.79,4.2322,129.8079,147.8307,12.7942,45.2417,26.0447
2014-07-30,21.7901,37.3071,16.1255,62.0514,74.677,29.2906,26.4466,3.82,4.3036,130.777,148.0159,12.9943,45.45,26.5951
2014-07-31,21.224,36.9488,15.6495,60.3886,72.65,28.5017,26.0925,3.91,4.1656,128.2778,145.5821,12.7191,44.4933,25.7974
2014-08-01,21.3417,36.692,15.353,60.7714,72.36,28.226,25.9808,3.97,4.2108,129.2979,143.3757,12.4939,43.5752,25.2071
2014-08-04,21.2218,37.1286,15.6825,60.3857,73.51,28.579,26.2157,4.0,4.2013,128.8899,144.5884,12.5523,43.7064,25.3906
2014-08-05,21.1174,36.8803,15.616,60.4071,72.69,28.1761,25.4367,4.08,4.2037,127.6147,142.6767,12.5106,43.2512,25.0555
2014-08-06,21.0819,36.5893,15.6945,61.4714,72.47,28.2411,25.4561,4.12,4.1989,129.7569,142.9462,12.6774,43.3823,25.1752
2014-08-07,21.0797,37.0087,15.5725,64.2386,73.17,28.0908,25.3282,4.1,4.1561,130.063,142.4072,12.6107,43.1354,25.0157
2014-08-08,21.1377,36.9831,15.84,63.6929,73.06,28.3606,25.2662,4.12,4.5226,130.8791,145.0684,12.6774,43.4672,25.4863
2014-08-11,21.4166,36.9831,15.9165,64.5057,73.44,28.3162,25.5918,4.14,4.4988,131.5421,145.2369,12.6941,43.4518,25.59
2014-08-12,21.4121,37.257,15.966,63.7729,72.83,28.0594,25.677,4.08,4.4988,130.624,145.1274,12.6857,43.4749,25.5342
2014-08-13,21.6955,37.7364,16.314,64.5043,73.77,28.6603,26.4288,4.11,4.525,131.7461,145.1611,12.7191,43.7604,25.5421
2014-08-14,21.7535,37.8991,16.6605,64.41,74.296,28.6538,26.3048,4.08,4.475,132.0012,145.4642,12.7775,43.961,25.6618
2014-08-15,21.8606,38.3442,16.6815,65.5843,73.63,28.5955,26.483,4.13,4.5321,130.777,144.7653,12.6941,43.7835,25.7017
2014-08-18,22.1239,38.6182,16.7265,66.5714,74.59,29.0283,26.6691,4.21,4.594,132.9703,146.997,12.8859,44.1538,26.0128
2014-08-19,22.4295,39.0489,16.7565,66.8786,75.29,29.2626,26.6148,4.27,4.6311,132.8682,146.5001,12.8859,44.4084,25.949
2014-08-20,22.4384,38.7216,16.789,67.4557,74.81,29.1445,26.7388,4.28,4.6024,134.4494,146.559,12.9443,44.4702,25.9569
2014-08-21,22.4407,38.9542,16.6455,67.4357,74.57,29.0886,27.2426,4.24,4.5594,134.8064,147.5022,13.4781,45.1337,26.3478
2014-08-22,22.6058,38.8939,16.5795,68.4557,74.57,29.0482,27.0798,4.25,4.5618,133.3783,147.7717,13.453,45.126,26.6988
2014-08-25,22.6549,38.9111,16.701,68.7043,75.02,28.9305,26.9791,4.18,4.569,133.6333,149.7929,13.5865,45.7817,27.2811
2014-08-26,22.5096,38.7689,17.0915,68.48,75.9601,28.8139,26.9713,4.19,4.6515,132.6642,149.8181,13.6199,46.0904,27.4407
2014-08-27,22.7865,38.6526,17.159,67.8143,74.63,28.4718,26.9636,4.16,4.5977,133.2763,150.2067,13.5114,45.9746,27.2253
2014-08-28,22.8133,38.6613,17.001,67.8871,73.855,28.3821,26.8551,4.14,4.6359,132.6642,150.0716,13.353,45.6429,27.1694
